"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.5816697193049e-41,1.24046905692434,0.343,0.186,4.90336529787579e-37,"5","IGHG1"
1.93576762001185e-34,1.28934215548802,0.512,0.355,3.6766034406885e-30,"6","RAPGEF4"
1.37011020667213e-97,1.13741337084013,0.862,0.512,2.60225031553237e-93,"6","KIF5A"
7.65497292239505e-54,1.08205606146327,0.68,0.422,1.45390900715049e-49,"6","NCS1"
2.46356801357687e-21,1.03162800755715,0.434,0.285,4.67905472818656e-17,"6","SLC17A7"
2.87470662112132e-50,1.03127472892879,0.658,0.405,5.45993028549572e-46,"6","FBXL16"
6.06620321550689e-26,1.00407946026695,0.513,0.358,1.15215397672122e-21,"6","SNCG"
1.58483538285565e-34,0.993672877994166,0.518,0.312,3.01007784265773e-30,"6","CHGA"
7.40371457959375e-07,0.992374705703885,0.362,0.326,0.0140618751010224,"6","FBXO41"
2.27340427011531e-20,0.989108139147837,0.416,0.28,4.31787673023001e-16,"6","HBA2"
0.000268518489834309,0.985143990956159,0.344,0.33,1,"6","TSPOAP1"
0,3.76651924018048,0.992,0.561,0,"7","VEGFA"
0,3.60217900342477,0.932,0.311,0,"7","HILPDA"
0,3.4952284996353,0.835,0.204,0,"7","ANGPTL4"
0,3.49050931828691,0.754,0.108,0,"7","CA12"
0,3.31376115147966,0.639,0.074,0,"7","CA9"
1.33024480033819e-295,3.18886306350324,0.794,0.245,2.52653394928233e-291,"7","GBE1"
0,3.16540330671625,0.728,0.124,0,"7","LOX"
5.80715867407129e-286,3.09774257967748,0.55,0.092,1.10295364696636e-281,"7","PFKFB4"
2.24932763538509e-216,3.09680278696797,0.389,0.056,4.27214797788691e-212,"7","ADAM8"
1.59874702337769e-318,3.08758021709377,0.85,0.26,3.03650022150125e-314,"7","ADM"
0,2.90268930605523,0.99,0.247,0,"8","CLSTN2"
0,2.66164151280104,1,0.416,0,"8","SYT1"
0,2.6060243252546,0.95,0.2,0,"8","SLIT1"
0,2.58345029389446,0.992,0.247,0,"8","SH3GL2"
0,2.55665500542768,1,0.399,0,"8","STMN2"
0,2.4895904518099,0.994,0.27,0,"8","DIRAS2"
0,2.48741697426567,1,0.324,0,"8","SYN2"
0,2.46591006489037,0.895,0.163,0,"8","GABRA5"
0,2.45628773437319,0.524,0.055,0,"8","CPNE9"
0,2.45265322500465,0.985,0.23,0,"8","SV2B"
1.83496061886043e-261,2.8815787864548,0.865,0.333,3.48514070340162e-257,"9","OPALIN"
6.30140098350405e-278,2.47553439851184,0.971,0.627,1.19682508879693e-273,"9","CERCAM"
2.10884429497632e-288,2.44100718659413,0.985,0.662,4.00532796944853e-284,"9","SCD"
8.607310063647e-191,2.21255559862027,0.867,0.461,1.63478640038847e-186,"9","PIP4K2A"
1.9729242372096e-238,2.17447718859895,0.942,0.51,3.7471750037322e-234,"9","ERMN"
6.61566831428338e-142,2.17142889648411,0.686,0.253,1.25651388293184e-137,"9","ST18"
2.72409173090026e-258,2.16616562929893,0.978,0.595,5.17386742449887e-254,"9","MOBP"
3.80072026934605e-240,2.15165789779681,0.953,0.582,7.21870800756896e-236,"9","TF"
1.0749123073348e-218,2.15063538308473,0.929,0.521,2.04158094532098e-214,"9","TMEM144"
6.30070708532301e-172,2.10349855484706,0.852,0.433,1.1966932967154e-167,"9","LPAR1"
4.76981347865384e-161,2.53538560634288,0.378,0.05,9.05930674000724e-157,"10","COL4A6"
1.96317812363589e-51,2.4909705465184,0.282,0.077,3.72866421022166e-47,"10","PPDPFL"
7.62995447989157e-178,2.28600713324353,0.444,0.062,1.44915725436581e-173,"10","TMSB15A"
1.01403103490697e-175,2.27018153605481,0.505,0.082,1.92594914459881e-171,"10","CENPF"
4.1966843688523e-214,2.26947253940398,0.69,0.131,7.97076262176118e-210,"10","TOP2A"
7.03794462513007e-233,2.22851663881299,0.88,0.218,1.33671682265095e-228,"10","HIST1H1B"
2.62806909196093e-184,2.10322548149289,1,0.795,4.9914916263614e-180,"10","MDM2"
8.83796125039234e-171,2.09635682955734,0.634,0.137,1.67859398028702e-166,"10","EZH2"
4.25079184523504e-182,2.05871129770337,0.831,0.243,8.07352895165492e-178,"10","HIST1H1D"
3.70637922542631e-146,2.04767722315236,0.509,0.1,7.03952606285219e-142,"10","CRABP1"
9.22159006840387e-243,4.49198254166696,0.543,0.077,1.75145660169195e-238,"11","MYH11"
1.66783633031632e-113,3.69907519109051,0.719,0.321,3.16772154216979e-109,"11","ADAMTS1"
4.32660090933313e-215,3.54789619986876,0.626,0.122,8.21751310709642e-211,"11","RELN"
1.74803339161395e-115,3.49749895220193,0.586,0.187,3.32003982069237e-111,"11","ACTA2"
4.39057232039025e-207,3.39310652443297,0.95,0.486,8.33901400811719e-203,"11","NR4A1"
1.49245530205618e-106,3.23216763174783,0.314,0.053,2.8346203551953e-102,"11","DEPRECATED-ENSG00000107796"
4.26183852261865e-95,3.10227971710784,0.724,0.35,8.0945099060096e-91,"11","MYL9"
5.69260150202261e-71,3.08648001669555,0.374,0.11,1.08119580327915e-66,"11","FHL5"
1.73491533781289e-87,3.02479953538124,0.64,0.282,3.29512470110802e-83,"11","C11orf96"
6.49629356757962e-77,3.01121161076917,0.44,0.143,1.2338410372904e-72,"11","DUSP5"
1.77550921995283e-201,2.37954787221142,0.799,0.181,3.37222466145642e-197,"12","WIF1"
3.6207150746808e-139,2.3119687220373,0.59,0.13,6.87682414134125e-135,"12","DEPRECATED-ENSG00000100285"
3.86899897103978e-105,2.19505461059384,0.421,0.085,7.34838974569585e-101,"12","TNNT2"
1.86427083113823e-187,2.13149127553822,0.962,0.348,3.54080958958084e-183,"12","SNCG"
6.85089953021864e-124,2.07500729924939,0.582,0.14,1.30119134777443e-119,"12","SLC6A7"
