"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.21655471798275e-22,0.650732032246822,0.544,0.305,6.10920237586464e-18,"Interneurons","ASIC1"
3.37470790642458e-22,0.478698032254022,0.687,0.389,6.40958272667221e-18,"Interneurons","CHD3"
3.40543511506023e-22,0.498845994704445,0.744,0.46,6.4679429140339e-18,"Interneurons","SETD3"
3.40741639004939e-22,0.685168718695078,0.53,0.292,6.47170594962081e-18,"Interneurons","DOCK3"
3.54807247864346e-22,0.58036322633957,0.58,0.326,6.73885405868751e-18,"Interneurons","AMN1"
3.61227292877888e-22,1.19970594110477,0.324,0.147,6.86078997362973e-18,"Interneurons","GARNL3"
3.79670338610683e-22,0.597880547391484,0.654,0.391,7.21107874123269e-18,"Interneurons","CD46"
3.79816937130769e-22,0.563171871906297,0.668,0.391,7.21386308692469e-18,"Interneurons","FAM199X"
4.21109081830075e-22,0.504490109719271,0.831,0.515,7.99812479119861e-18,"Interneurons","ZFR"
4.37740858144791e-22,0.439014110259629,0.91,0.613,8.31401211874402e-18,"Interneurons","CNDP2"
4.39739592868159e-22,0.42693878870391,0.837,0.494,8.35197408734494e-18,"Interneurons","RHBDD2"
4.6076548352025e-22,0.49357597801135,0.738,0.424,8.75131882850012e-18,"Interneurons","ATP2B1"
4.73484998238001e-22,0.414764684472375,0.727,0.439,8.99290057153436e-18,"Interneurons","ADORA1"
4.73522526829558e-22,0.364574953525509,0.718,0.4,8.99361335207379e-18,"Interneurons","CTNNA2"
5.09616983296054e-22,0.418833142602423,0.907,0.584,9.67915536374195e-18,"Interneurons","ZNF644"
5.15216552742144e-22,0.492625030922333,0.814,0.525,9.78550798623154e-18,"Interneurons","SNRNP70"
5.30251096417919e-22,0.647458049010772,0.532,0.29,1.00710590742655e-17,"Interneurons","SAMD12"
5.447333422799e-22,0.602901302208172,0.634,0.378,1.03461203699221e-17,"Interneurons","SAMD8"
5.50854389038275e-22,0.588724383793004,0.465,0.239,1.0462377411004e-17,"Interneurons","NET1"
5.58922515469135e-22,0.479344418505985,0.814,0.516,1.06156153363053e-17,"Interneurons","TMEM106B"
5.60482126516431e-22,0.500104886619685,0.524,0.253,1.06452370289266e-17,"Interneurons","CELF5"
5.71647990391092e-22,0.397936624661901,0.755,0.41,1.0857310281498e-17,"Interneurons","B4GAT1"
5.83926723335543e-22,0.398918743241304,0.67,0.36,1.1090520256312e-17,"Interneurons","NTRK3"
5.88375778876483e-22,0.516936993694487,0.873,0.535,1.1175021168201e-17,"Interneurons","ATP2C1"
5.90124363652685e-22,0.469173700316066,0.746,0.422,1.12082320388555e-17,"Interneurons","RAPGEF2"
5.90692722674705e-22,0.45925233492707,0.766,0.452,1.12190268817607e-17,"Interneurons","PRKCA"
5.95920134215287e-22,0.671469643336652,0.451,0.235,1.13183111091509e-17,"Interneurons","TRPC1"
6.08706290009757e-22,0.549699450810602,0.507,0.259,1.15611585661553e-17,"Interneurons","BAIAP3"
6.64601685052707e-22,0.490594698351678,0.792,0.484,1.26227798042061e-17,"Interneurons","TRIM44"
6.79506489597676e-22,0.450323118619585,0.777,0.465,1.29058667569287e-17,"Interneurons","PRDM2"
7.36344401965495e-22,0.518327273363172,0.654,0.381,1.39853892265307e-17,"Interneurons","FBXW11"
7.55801113963069e-22,0.529909263182565,0.792,0.48,1.43549305575006e-17,"Interneurons","TRPC4AP"
8.01974979983031e-22,0.466764784370714,0.794,0.498,1.52319107948177e-17,"Interneurons","URI1"
8.03859785673643e-22,0.566193041193794,0.546,0.311,1.52677089092995e-17,"Interneurons","IFT80"
8.05912636479666e-22,0.606177035520187,0.499,0.27,1.53066987046583e-17,"Interneurons","MYH14"
8.65497333405932e-22,0.53978857489999,0.361,0.159,1.64383908533789e-17,"Interneurons","SLC5A11"
9.03430064080101e-22,0.577828052781803,0.645,0.374,1.71588472070734e-17,"Interneurons","TRIM23"
9.22551832835836e-22,0.467150732937156,0.701,0.423,1.7522026961051e-17,"Interneurons","C4orf48"
9.28285427765681e-22,0.55180137753931,0.659,0.375,1.76309251295536e-17,"Interneurons","KCTD2"
